"w15_38_1nm_MoOx - RawData"
"Wavelength nm."	"Abs."
279,00	0,374
279,20	0,368
279,40	0,372
279,60	0,373
279,80	0,373
280,00	0,377
280,20	0,381
280,40	0,384
280,60	0,384
280,80	0,385
281,00	0,380
281,20	0,374
281,40	0,375
281,60	0,368
281,80	0,359
282,00	0,362
282,20	0,368
282,40	0,363
282,60	0,365
282,80	0,374
283,00	0,372
283,20	0,370
283,40	0,377
283,60	0,380
283,80	0,374
284,00	0,372
284,20	0,368
284,40	0,360
284,60	0,361
284,80	0,366
285,00	0,362
285,20	0,363
285,40	0,367
285,60	0,369
285,80	0,379
286,00	0,377
286,20	0,373
286,40	0,377
286,60	0,375
286,80	0,374
287,00	0,366
287,20	0,358
287,40	0,358
287,60	0,355
287,80	0,352
288,00	0,349
288,20	0,351
288,40	0,360
288,60	0,365
288,80	0,366
289,00	0,372
289,20	0,380
289,40	0,382
289,60	0,378
289,80	0,375
290,00	0,373
290,20	0,365
290,40	0,360
290,60	0,354
290,80	0,350
291,00	0,353
291,20	0,350
291,40	0,349
291,60	0,354
291,80	0,354
292,00	0,356
292,20	0,360
292,40	0,358
292,60	0,358
292,80	0,358
293,00	0,354
293,20	0,347
293,40	0,342
293,60	0,341
293,80	0,337
294,00	0,333
294,20	0,332
294,40	0,331
294,60	0,339
294,80	0,351
295,00	0,355
295,20	0,357
295,40	0,357
295,60	0,354
295,80	0,355
296,00	0,350
296,20	0,343
296,40	0,343
296,60	0,339
296,80	0,334
297,00	0,336
297,20	0,341
297,40	0,344
297,60	0,346
297,80	0,350
298,00	0,359
298,20	0,366
298,40	0,366
298,60	0,359
298,80	0,354
299,00	0,346
299,20	0,340
299,40	0,339
299,60	0,337
299,80	0,340
300,00	0,335
300,20	0,332
300,40	0,334
300,60	0,335
300,80	0,342
301,00	0,349
301,20	0,353
301,40	0,355
301,60	0,354
301,80	0,353
302,00	0,351
302,20	0,344
302,40	0,337
302,60	0,334
302,80	0,328
303,00	0,328
303,20	0,328
303,40	0,324
303,60	0,330
303,80	0,331
304,00	0,332
304,20	0,340
304,40	0,346
304,60	0,351
304,80	0,350
305,00	0,350
305,20	0,348
305,40	0,346
305,60	0,343
305,80	0,342
306,00	0,334
306,20	0,325
306,40	0,332
306,60	0,333
306,80	0,330
307,00	0,328
307,20	0,327
307,40	0,328
307,60	0,333
307,80	0,338
308,00	0,341
308,20	0,344
308,40	0,345
308,60	0,343
308,80	0,342
309,00	0,339
309,20	0,328
309,40	0,322
309,60	0,319
309,80	0,314
310,00	0,306
310,20	0,298
310,40	0,302
310,60	0,310
310,80	0,311
311,00	0,310
311,20	0,313
311,40	0,321
311,60	0,328
311,80	0,326
312,00	0,329
312,20	0,333
312,40	0,330
312,60	0,330
312,80	0,332
313,00	0,330
313,20	0,326
313,40	0,321
313,60	0,319
313,80	0,312
314,00	0,305
314,20	0,311
314,40	0,318
314,60	0,322
314,80	0,322
315,00	0,325
315,20	0,330
315,40	0,336
315,60	0,343
315,80	0,343
316,00	0,344
316,20	0,344
316,40	0,340
316,60	0,334
316,80	0,321
317,00	0,317
317,20	0,317
317,40	0,315
317,60	0,310
317,80	0,307
318,00	0,310
318,20	0,311
318,40	0,314
318,60	0,320
318,80	0,320
319,00	0,323
319,20	0,330
319,40	0,331
319,60	0,333
319,80	0,338
320,00	0,337
320,20	0,335
320,40	0,333
320,60	0,325
320,80	0,319
321,00	0,311
321,20	0,307
321,40	0,308
321,60	0,307
321,80	0,307
322,00	0,309
322,20	0,313
322,40	0,314
322,60	0,316
322,80	0,324
323,00	0,328
323,20	0,325
323,40	0,330
323,60	0,336
323,80	0,332
324,00	0,330
324,20	0,332
324,40	0,333
324,60	0,322
324,80	0,315
325,00	0,314
325,20	0,307
325,40	0,295
325,60	0,297
325,80	0,304
326,00	0,304
326,20	0,300
326,40	0,306
326,60	0,311
326,80	0,307
327,00	0,305
327,20	0,310
327,40	0,313
327,60	0,317
327,80	0,323
328,00	0,324
328,20	0,326
328,40	0,324
328,60	0,326
328,80	0,322
329,00	0,313
329,20	0,306
329,40	0,300
329,60	0,298
329,80	0,298
330,00	0,299
330,20	0,297
330,40	0,295
330,60	0,293
330,80	0,296
331,00	0,307
331,20	0,316
331,40	0,315
331,60	0,313
331,80	0,317
332,00	0,321
332,20	0,320
332,40	0,312
332,60	0,314
332,80	0,317
333,00	0,313
333,20	0,312
333,40	0,306
333,60	0,301
333,80	0,301
334,00	0,300
334,20	0,301
334,40	0,295
334,60	0,289
334,80	0,297
335,00	0,305
335,20	0,304
335,40	0,306
335,60	0,310
335,80	0,316
336,00	0,324
336,20	0,330
336,40	0,331
336,60	0,332
336,80	0,333
337,00	0,330
337,20	0,328
337,40	0,322
337,60	0,320
337,80	0,319
338,00	0,311
338,20	0,306
338,40	0,302
338,60	0,299
338,80	0,296
339,00	0,294
339,20	0,297
339,40	0,302
339,60	0,301
339,80	0,300
340,00	0,305
340,20	0,311
340,40	0,313
340,60	0,313
340,80	0,314
341,00	0,314
341,20	0,319
341,40	0,322
341,60	0,319
341,80	0,317
342,00	0,318
342,20	0,314
342,40	0,307
342,60	0,307
342,80	0,300
343,00	0,287
343,20	0,287
343,40	0,293
343,60	0,289
343,80	0,285
344,00	0,284
344,20	0,285
344,40	0,289
344,60	0,290
344,80	0,295
345,00	0,301
345,20	0,303
345,40	0,305
345,60	0,308
345,80	0,313
346,00	0,316
346,20	0,320
346,40	0,323
346,60	0,320
346,80	0,319
347,00	0,306
347,20	0,301
347,40	0,305
347,60	0,301
347,80	0,295
348,00	0,290
348,20	0,284
348,40	0,284
348,60	0,288
348,80	0,290
349,00	0,286
349,20	0,282
349,40	0,286
349,60	0,294
349,80	0,292
350,00	0,288
350,20	0,291
350,40	0,303
350,60	0,315
350,80	0,318
351,00	0,313
351,20	0,311
351,40	0,313
351,60	0,318
351,80	0,312
352,00	0,301
352,20	0,301
352,40	0,298
352,60	0,297
352,80	0,295
353,00	0,285
353,20	0,279
353,40	0,279
353,60	0,281
353,80	0,280
354,00	0,281
354,20	0,284
354,40	0,283
354,60	0,282
354,80	0,289
355,00	0,298
355,20	0,294
355,40	0,292
355,60	0,302
355,80	0,310
356,00	0,313
356,20	0,310
356,40	0,311
356,60	0,312
356,80	0,310
357,00	0,311
357,20	0,308
357,40	0,301
357,60	0,298
357,80	0,295
358,00	0,288
358,20	0,281
358,40	0,286
358,60	0,293
358,80	0,293
359,00	0,298
359,20	0,305
359,40	0,299
359,60	0,294
359,80	0,295
360,00	0,299
360,20	0,299
360,40	0,300
360,60	0,310
360,80	0,318
361,00	0,316
361,20	0,314
361,40	0,316
361,60	0,317
361,80	0,318
362,00	0,312
362,20	0,305
362,40	0,308
362,60	0,301
362,80	0,292
363,00	0,290
363,20	0,288
363,40	0,285
363,60	0,283
363,80	0,282
364,00	0,281
364,20	0,279
364,40	0,275
364,60	0,277
364,80	0,282
365,00	0,286
365,20	0,285
365,40	0,289
365,60	0,299
365,80	0,301
366,00	0,304
366,20	0,306
366,40	0,304
366,60	0,310
366,80	0,314
367,00	0,313
367,20	0,311
367,40	0,308
367,60	0,303
367,80	0,298
368,00	0,295
368,20	0,290
368,40	0,289
368,60	0,283
368,80	0,279
369,00	0,276
369,20	0,272
369,40	0,274
369,60	0,274
369,80	0,269
370,00	0,266
370,20	0,266
370,40	0,272
370,60	0,279
370,80	0,287
371,00	0,290
371,20	0,287
371,40	0,291
371,60	0,297
371,80	0,302
372,00	0,305
372,20	0,306
372,40	0,306
372,60	0,308
372,80	0,309
373,00	0,307
373,20	0,305
373,40	0,301
373,60	0,292
373,80	0,287
374,00	0,290
374,20	0,288
374,40	0,281
374,60	0,274
374,80	0,272
375,00	0,271
375,20	0,273
375,40	0,269
375,60	0,266
375,80	0,268
376,00	0,268
376,20	0,269
376,40	0,276
376,60	0,283
376,80	0,288
377,00	0,290
377,20	0,293
377,40	0,298
377,60	0,301
377,80	0,303
378,00	0,308
378,20	0,309
378,40	0,307
378,60	0,306
378,80	0,307
379,00	0,307
379,20	0,303
379,40	0,299
379,60	0,295
379,80	0,289
380,00	0,285
380,20	0,280
380,40	0,274
380,60	0,273
380,80	0,267
381,00	0,261
381,20	0,261
381,40	0,262
381,60	0,266
381,80	0,267
382,00	0,269
382,20	0,274
382,40	0,276
382,60	0,275
