"w15_39_3nm_MoOx - RawData"
"Wavelength nm."	"Abs."
200,00	1,044
200,20	1,679
200,40	1,745
200,60	1,122
200,80	0,994
201,00	1,491
201,20	1,708
201,40	1,250
201,60	1,019
201,80	1,024
202,00	1,156
202,20	1,079
202,40	1,069
202,60	1,520
202,80	1,506
203,00	1,214
203,20	1,323
203,40	1,387
203,60	1,339
203,80	1,241
204,00	1,208
204,20	1,106
204,40	1,022
204,60	1,195
204,80	1,233
205,00	1,110
205,20	1,092
205,40	1,136
205,60	1,103
205,80	1,027
206,00	1,103
206,20	1,124
206,40	1,202
206,60	1,278
206,80	1,294
207,00	1,261
207,20	1,163
207,40	1,153
207,60	1,314
207,80	1,382
208,00	1,354
208,20	1,313
208,40	1,274
208,60	1,282
208,80	1,236
209,00	1,165
209,20	1,137
209,40	1,227
209,60	1,256
209,80	1,240
210,00	1,229
210,20	1,262
210,40	1,305
210,60	1,260
210,80	1,269
211,00	1,289
211,20	1,275
211,40	1,286
211,60	1,298
211,80	1,377
212,00	1,350
212,20	1,193
212,40	1,264
212,60	1,373
212,80	1,355
213,00	1,248
213,20	1,225
213,40	1,295
213,60	1,252
213,80	1,288
214,00	1,317
214,20	1,237
214,40	1,240
214,60	1,290
214,80	1,287
215,00	1,264
215,20	1,279
215,40	1,295
215,60	1,277
215,80	1,316
216,00	1,345
216,20	1,317
216,40	1,279
216,60	1,279
216,80	1,319
217,00	1,303
217,20	1,283
217,40	1,270
217,60	1,269
217,80	1,371
218,00	1,376
218,20	1,312
218,40	1,300
218,60	1,311
218,80	1,311
219,00	1,247
219,20	1,275
219,40	1,297
219,60	1,295
219,80	1,281
220,00	1,309
220,20	1,325
220,40	1,281
220,60	1,284
220,80	1,293
221,00	1,299
221,20	1,314
221,40	1,293
221,60	1,250
221,80	1,280
222,00	1,307
222,20	1,314
222,40	1,308
222,60	1,294
222,80	1,294
223,00	1,294
223,20	1,293
223,40	1,299
223,60	1,316
223,80	1,333
224,00	1,317
224,20	1,267
224,40	1,250
224,60	1,282
224,80	1,293
225,00	1,284
225,20	1,276
225,40	1,257
225,60	1,242
225,80	1,254
226,00	1,252
226,20	1,249
226,40	1,286
226,60	1,280
226,80	1,252
227,00	1,276
227,20	1,302
227,40	1,287
227,60	1,293
227,80	1,296
228,00	1,283
228,20	1,276
228,40	1,283
228,60	1,308
228,80	1,302
229,00	1,306
229,20	1,289
229,40	1,252
229,60	1,258
229,80	1,242
230,00	1,240
230,20	1,285
230,40	1,303
230,60	1,278
230,80	1,261
231,00	1,260
231,20	1,254
231,40	1,274
231,60	1,291
231,80	1,286
232,00	1,267
232,20	1,255
232,40	1,249
232,60	1,229
232,80	1,246
233,00	1,256
233,20	1,227
233,40	1,246
233,60	1,255
233,80	1,230
234,00	1,237
234,20	1,244
234,40	1,206
234,60	1,181
234,80	1,198
235,00	1,204
235,20	1,208
235,40	1,210
235,60	1,201
235,80	1,192
236,00	1,179
236,20	1,198
236,40	1,197
236,60	1,162
236,80	1,172
237,00	1,192
237,20	1,176
237,40	1,151
237,60	1,154
237,80	1,177
238,00	1,181
238,20	1,178
238,40	1,187
238,60	1,172
238,80	1,173
239,00	1,182
239,20	1,185
239,40	1,190
239,60	1,172
239,80	1,154
240,00	1,153
240,20	1,163
240,40	1,161
240,60	1,177
240,80	1,191
241,00	1,164
241,20	1,152
241,40	1,164
241,60	1,165
241,80	1,146
242,00	1,145
242,20	1,159
242,40	1,145
242,60	1,147
242,80	1,162
243,00	1,159
243,20	1,153
243,40	1,160
243,60	1,165
243,80	1,152
244,00	1,150
244,20	1,133
244,40	1,148
244,60	1,166
244,80	1,150
245,00	1,153
245,20	1,155
245,40	1,157
245,60	1,146
245,80	1,141
246,00	1,150
246,20	1,157
246,40	1,138
246,60	1,134
246,80	1,145
247,00	1,152
247,20	1,167
247,40	1,163
247,60	1,156
247,80	1,157
248,00	1,172
248,20	1,160
248,40	1,145
248,60	1,158
248,80	1,174
249,00	1,175
249,20	1,163
249,40	1,158
249,60	1,155
249,80	1,125
250,00	1,086
250,20	1,068
250,40	1,063
250,60	1,043
250,80	1,010
251,00	0,999
251,20	0,983
251,40	0,956
251,60	0,942
251,80	0,926
252,00	0,907
252,20	0,893
252,40	0,875
252,60	0,850
252,80	0,838
253,00	0,838
253,20	0,824
253,40	0,799
253,60	0,783
253,80	0,765
254,00	0,751
254,20	0,750
254,40	0,741
254,60	0,735
254,80	0,731
255,00	0,718
255,20	0,717
255,40	0,717
255,60	0,706
255,80	0,709
256,00	0,714
256,20	0,701
256,40	0,685
256,60	0,677
256,80	0,667
257,00	0,664
257,20	0,672
257,40	0,675
257,60	0,672
257,80	0,660
258,00	0,652
258,20	0,651
258,40	0,642
258,60	0,640
258,80	0,634
259,00	0,630
259,20	0,631
259,40	0,630
259,60	0,628
259,80	0,615
260,00	0,606
260,20	0,609
260,40	0,602
260,60	0,593
260,80	0,587
261,00	0,592
261,20	0,603
261,40	0,603
261,60	0,602
261,80	0,598
262,00	0,589
262,20	0,584
262,40	0,583
262,60	0,584
262,80	0,580
263,00	0,581
263,20	0,586
263,40	0,584
263,60	0,578
263,80	0,571
264,00	0,564
264,20	0,561
264,40	0,563
264,60	0,565
264,80	0,567
265,00	0,565
265,20	0,572
265,40	0,570
265,60	0,566
265,80	0,560
266,00	0,549
266,20	0,540
266,40	0,534
266,60	0,533
266,80	0,528
267,00	0,528
267,20	0,535
267,40	0,541
267,60	0,538
267,80	0,531
268,00	0,523
268,20	0,513
268,40	0,504
268,60	0,498
268,80	0,497
269,00	0,502
269,20	0,512
269,40	0,516
269,60	0,513
269,80	0,513
270,00	0,513
270,20	0,509
270,40	0,498
270,60	0,488
270,80	0,486
271,00	0,486
271,20	0,492
271,40	0,498
271,60	0,503
271,80	0,505
272,00	0,499
272,20	0,501
272,40	0,500
272,60	0,493
272,80	0,491
273,00	0,482
273,20	0,477
273,40	0,473
273,60	0,476
273,80	0,483
274,00	0,483
274,20	0,483
274,40	0,486
274,60	0,482
274,80	0,476
275,00	0,476
275,20	0,466
275,40	0,462
275,60	0,459
275,80	0,459
276,00	0,463
276,20	0,465
276,40	0,469
276,60	0,467
276,80	0,468
277,00	0,471
277,20	0,470
277,40	0,466
277,60	0,451
277,80	0,441
278,00	0,445
278,20	0,444
278,40	0,439
278,60	0,445
278,80	0,458
279,00	0,464
279,20	0,462
279,40	0,459
279,60	0,454
279,80	0,454
280,00	0,454
280,20	0,448
280,40	0,439
280,60	0,436
280,80	0,439
281,00	0,442
281,20	0,450
281,40	0,454
281,60	0,453
281,80	0,461
282,00	0,462
282,20	0,457
282,40	0,450
282,60	0,440
282,80	0,433
283,00	0,430
283,20	0,432
283,40	0,431
283,60	0,432
283,80	0,440
284,00	0,448
284,20	0,451
284,40	0,452
284,60	0,453
284,80	0,453
285,00	0,450
285,20	0,446
285,40	0,441
285,60	0,436
285,80	0,431
286,00	0,427
286,20	0,423
286,40	0,426
286,60	0,431
286,80	0,436
287,00	0,439
287,20	0,442
287,40	0,442
287,60	0,440
287,80	0,436
288,00	0,431
288,20	0,428
288,40	0,421
288,60	0,412
288,80	0,416
289,00	0,422
289,20	0,424
289,40	0,425
289,60	0,430
289,80	0,437
290,00	0,437
290,20	0,438
290,40	0,443
290,60	0,441
290,80	0,440
291,00	0,434
291,20	0,421
291,40	0,420
291,60	0,418
291,80	0,413
292,00	0,414
292,20	0,415
292,40	0,415
292,60	0,416
292,80	0,418
293,00	0,424
293,20	0,430
293,40	0,432
293,60	0,432
293,80	0,427
294,00	0,422
294,20	0,420
294,40	0,418
294,60	0,415
294,80	0,411
295,00	0,406
295,20	0,407
295,40	0,411
295,60	0,416
295,80	0,424
296,00	0,433
296,20	0,436
296,40	0,436
296,60	0,435
296,80	0,431
297,00	0,425
297,20	0,416
297,40	0,407
297,60	0,401
297,80	0,397
298,00	0,396
298,20	0,397
298,40	0,404
298,60	0,413
298,80	0,413
299,00	0,414
299,20	0,421
299,40	0,420
299,60	0,417
299,80	0,416
300,00	0,413
300,20	0,412
300,40	0,410
300,60	0,404
300,80	0,400
301,00	0,403
301,20	0,399
301,40	0,397
301,60	0,397
301,80	0,398
302,00	0,404
302,20	0,408
302,40	0,411
302,60	0,412
302,80	0,413
303,00	0,415
303,20	0,409
303,40	0,400
303,60	0,400
303,80	0,395
304,00	0,389
304,20	0,390
304,40	0,391
304,60	0,391
304,80	0,392
305,00	0,400
305,20	0,406
305,40	0,410
305,60	0,412
305,80	0,416
306,00	0,417
306,20	0,419
306,40	0,415
306,60	0,410
306,80	0,410
307,00	0,403
307,20	0,397
307,40	0,398
307,60	0,390
307,80	0,378
308,00	0,379
308,20	0,389
308,40	0,393
308,60	0,392
308,80	0,392
309,00	0,390
309,20	0,399
309,40	0,406
309,60	0,405
309,80	0,411
310,00	0,406
310,20	0,393
310,40	0,392
310,60	0,392
310,80	0,384
311,00	0,372
311,20	0,370
311,40	0,379
311,60	0,378
311,80	0,371
312,00	0,374
312,20	0,383
312,40	0,393
312,60	0,406
312,80	0,409
313,00	0,405
313,20	0,403
313,40	0,401
313,60	0,402
313,80	0,402
314,00	0,392
314,20	0,384
314,40	0,377
314,60	0,369
314,80	0,364
315,00	0,366
315,20	0,368
315,40	0,368
315,60	0,371
315,80	0,376
316,00	0,377
316,20	0,380
316,40	0,385
316,60	0,388
316,80	0,392
317,00	0,388
317,20	0,381
317,40	0,378
317,60	0,375
317,80	0,371
318,00	0,364
318,20	0,357
318,40	0,356
318,60	0,360
318,80	0,363
319,00	0,364
319,20	0,363
319,40	0,370
319,60	0,379
319,80	0,385
320,00	0,388
320,20	0,392
320,40	0,399
320,60	0,396
320,80	0,393
321,00	0,396
321,20	0,389
321,40	0,378
321,60	0,377
321,80	0,380
322,00	0,373
322,20	0,370
322,40	0,371
322,60	0,366
322,80	0,362
323,00	0,366
323,20	0,373
323,40	0,373
323,60	0,371
323,80	0,383
324,00	0,390
324,20	0,395
324,40	0,401
324,60	0,402
324,80	0,401
325,00	0,397
325,20	0,396
325,40	0,386
325,60	0,376
325,80	0,373
326,00	0,366
326,20	0,357
326,40	0,355
326,60	0,355
326,80	0,350
327,00	0,348
327,20	0,350
327,40	0,349
327,60	0,358
327,80	0,367
328,00	0,366
328,20	0,371
328,40	0,373
328,60	0,378
328,80	0,378
329,00	0,377
329,20	0,383
329,40	0,379
329,60	0,369
329,80	0,363
330,00	0,363
330,20	0,360
330,40	0,353
330,60	0,344
330,80	0,343
331,00	0,345
331,20	0,352
331,40	0,360
331,60	0,354
331,80	0,352
332,00	0,358
332,20	0,364
332,40	0,369
332,60	0,375
332,80	0,379
333,00	0,381
333,20	0,385
