"background_w15_70 - RawData"
"Wavelength nm."	"Abs."
279,20	0,399
279,40	0,400
279,60	0,393
279,80	0,387
280,00	0,384
280,20	0,381
280,40	0,380
280,60	0,379
280,80	0,378
281,00	0,380
281,20	0,382
281,40	0,383
281,60	0,386
281,80	0,392
282,00	0,389
282,20	0,385
282,40	0,384
282,60	0,379
282,80	0,378
283,00	0,367
283,20	0,357
283,40	0,365
283,60	0,374
283,80	0,375
284,00	0,380
284,20	0,385
284,40	0,381
284,60	0,383
284,80	0,387
285,00	0,388
285,20	0,382
285,40	0,373
285,60	0,375
285,80	0,371
286,00	0,360
286,20	0,360
286,40	0,364
286,60	0,364
286,80	0,363
287,00	0,372
287,20	0,381
287,40	0,376
287,60	0,371
287,80	0,370
288,00	0,365
288,20	0,361
288,40	0,357
288,60	0,350
288,80	0,349
289,00	0,355
289,20	0,356
289,40	0,360
289,60	0,363
289,80	0,359
290,00	0,366
290,20	0,368
290,40	0,364
290,60	0,365
290,80	0,360
291,00	0,349
291,20	0,345
291,40	0,344
291,60	0,339
291,80	0,338
292,00	0,342
292,20	0,340
292,40	0,347
292,60	0,357
292,80	0,363
293,00	0,368
293,20	0,368
293,40	0,367
293,60	0,365
293,80	0,359
294,00	0,350
294,20	0,343
294,40	0,343
294,60	0,344
294,80	0,339
295,00	0,338
295,20	0,344
295,40	0,349
295,60	0,355
295,80	0,362
296,00	0,363
296,20	0,360
296,40	0,360
296,60	0,358
296,80	0,349
297,00	0,339
297,20	0,333
297,40	0,330
297,60	0,328
297,80	0,326
298,00	0,333
298,20	0,338
298,40	0,340
298,60	0,341
298,80	0,342
299,00	0,348
299,20	0,348
299,40	0,349
299,60	0,347
299,80	0,340
300,00	0,338
300,20	0,333
300,40	0,327
300,60	0,325
300,80	0,327
301,00	0,325
301,20	0,329
301,40	0,342
301,60	0,346
301,80	0,343
302,00	0,345
302,20	0,344
302,40	0,340
302,60	0,339
302,80	0,338
303,00	0,335
303,20	0,330
303,40	0,324
303,60	0,322
303,80	0,324
304,00	0,327
304,20	0,331
304,40	0,333
304,60	0,338
304,80	0,343
305,00	0,346
305,20	0,350
305,40	0,350
305,60	0,349
305,80	0,347
306,00	0,339
306,20	0,336
306,40	0,332
306,60	0,323
306,80	0,319
307,00	0,321
307,20	0,323
307,40	0,322
307,60	0,319
307,80	0,321
308,00	0,327
308,20	0,334
308,40	0,339
308,60	0,345
308,80	0,348
309,00	0,346
309,20	0,344
309,40	0,337
309,60	0,330
309,80	0,325
310,00	0,321
310,20	0,313
310,40	0,309
310,60	0,310
310,80	0,310
311,00	0,307
311,20	0,306
311,40	0,313
311,60	0,325
311,80	0,335
312,00	0,337
312,20	0,332
312,40	0,331
312,60	0,333
312,80	0,330
313,00	0,324
313,20	0,317
313,40	0,311
313,60	0,304
313,80	0,297
314,00	0,297
314,20	0,302
314,40	0,301
314,60	0,299
314,80	0,302
315,00	0,305
315,20	0,314
315,40	0,322
315,60	0,323
315,80	0,326
316,00	0,329
316,20	0,329
316,40	0,327
316,60	0,317
316,80	0,304
317,00	0,304
317,20	0,302
317,40	0,303
317,60	0,307
317,80	0,308
318,00	0,311
318,20	0,314
318,40	0,315
318,60	0,318
318,80	0,325
319,00	0,329
319,20	0,330
319,40	0,337
319,60	0,345
