"w15_66_5nm_MoOx - RawData"
"Wavelength nm."	"Abs."
200,00	0,930
200,20	5,000
200,40	5,000
200,60	1,730
200,80	1,454
201,00	1,034
201,20	1,256
201,40	1,673
201,60	1,436
201,80	1,270
202,00	1,296
202,20	1,292
202,40	1,302
202,60	1,134
202,80	1,321
203,00	1,550
203,20	1,454
203,40	1,753
203,60	2,074
203,80	1,757
204,00	1,439
204,20	1,527
204,40	1,364
204,60	1,120
204,80	1,182
205,00	1,282
205,20	1,358
205,40	1,300
205,60	1,224
205,80	1,432
206,00	1,575
206,20	1,463
206,40	1,404
206,60	1,353
206,80	1,452
207,00	1,432
207,20	1,300
207,40	1,302
207,60	1,424
207,80	1,485
208,00	1,503
208,20	1,455
208,40	1,420
208,60	1,394
208,80	1,278
209,00	1,362
209,20	1,474
209,40	1,484
209,60	1,561
209,80	1,575
210,00	1,517
210,20	1,537
210,40	1,526
210,60	1,483
210,80	1,440
211,00	1,454
211,20	1,436
211,40	1,441
211,60	1,507
211,80	1,476
212,00	1,514
212,20	1,544
212,40	1,484
212,60	1,531
212,80	1,597
213,00	1,501
213,20	1,445
213,40	1,553
213,60	1,507
213,80	1,435
214,00	1,501
214,20	1,481
214,40	1,469
214,60	1,518
214,80	1,563
215,00	1,582
215,20	1,536
215,40	1,492
215,60	1,479
215,80	1,506
216,00	1,544
216,20	1,479
216,40	1,401
216,60	1,486
216,80	1,577
217,00	1,569
217,20	1,558
217,40	1,593
217,60	1,528
217,80	1,445
218,00	1,483
218,20	1,476
218,40	1,505
218,60	1,569
218,80	1,514
219,00	1,482
219,20	1,544
219,40	1,512
219,60	1,510
219,80	1,559
220,00	1,515
220,20	1,525
220,40	1,535
220,60	1,502
220,80	1,542
221,00	1,512
221,20	1,398
221,40	1,399
221,60	1,480
221,80	1,494
222,00	1,448
222,20	1,447
222,40	1,524
222,60	1,586
222,80	1,546
223,00	1,499
223,20	1,474
223,40	1,440
223,60	1,416
223,80	1,445
224,00	1,517
224,20	1,573
224,40	1,558
224,60	1,487
224,80	1,482
225,00	1,468
225,20	1,439
225,40	1,485
225,60	1,475
225,80	1,439
226,00	1,468
226,20	1,507
226,40	1,552
226,60	1,556
226,80	1,505
227,00	1,489
227,20	1,495
227,40	1,508
227,60	1,507
227,80	1,463
228,00	1,444
228,20	1,482
228,40	1,521
228,60	1,493
228,80	1,498
229,00	1,543
229,20	1,502
229,40	1,476
229,60	1,480
229,80	1,477
230,00	1,550
230,20	1,548
230,40	1,502
230,60	1,508
230,80	1,494
231,00	1,481
231,20	1,501
231,40	1,514
231,60	1,503
231,80	1,464
232,00	1,465
232,20	1,528
232,40	1,518
232,60	1,470
232,80	1,505
233,00	1,506
233,20	1,461
233,40	1,469
233,60	1,463
233,80	1,461
234,00	1,462
234,20	1,460
234,40	1,463
234,60	1,456
234,80	1,433
235,00	1,424
235,20	1,455
235,40	1,444
235,60	1,415
235,80	1,420
236,00	1,443
236,20	1,444
236,40	1,409
236,60	1,394
236,80	1,388
237,00	1,377
237,20	1,385
237,40	1,394
237,60	1,400
237,80	1,394
238,00	1,371
238,20	1,356
238,40	1,396
238,60	1,422
238,80	1,415
239,00	1,410
239,20	1,415
239,40	1,434
239,60	1,410
239,80	1,383
240,00	1,381
240,20	1,378
