"w15_27_5nm_NiOx_real - RawData"
"Wavelength nm."	"Abs."
200,00	1,445
200,20	1,262
200,40	1,070
200,60	1,103
200,80	1,047
201,00	0,922
201,20	0,865
201,40	0,919
201,60	1,092
201,80	1,241
202,00	1,315
202,20	1,472
202,40	1,261
202,60	1,436
202,80	1,523
203,00	1,096
203,20	1,090
203,40	1,128
203,60	1,087
203,80	1,107
204,00	1,257
204,20	1,200
204,40	1,066
204,60	0,962
204,80	0,951
205,00	1,019
205,20	1,025
205,40	1,074
205,60	1,109
205,80	1,061
206,00	1,046
206,20	1,043
206,40	1,135
206,60	1,232
206,80	1,202
207,00	1,100
207,20	1,117
207,40	1,149
207,60	1,106
207,80	1,097
208,00	1,078
208,20	1,138
208,40	1,120
208,60	1,000
208,80	1,040
209,00	1,083
209,20	1,045
209,40	1,109
209,60	1,146
209,80	1,207
210,00	1,242
210,20	1,195
210,40	1,216
210,60	1,230
210,80	1,144
211,00	1,173
211,20	1,225
211,40	1,153
211,60	1,162
211,80	1,186
212,00	1,167
212,20	1,152
212,40	1,133
212,60	1,161
212,80	1,227
213,00	1,184
213,20	1,163
213,40	1,196
213,60	1,195
213,80	1,218
214,00	1,247
214,20	1,226
214,40	1,226
214,60	1,240
214,80	1,260
215,00	1,313
215,20	1,333
215,40	1,321
215,60	1,231
215,80	1,169
216,00	1,177
216,20	1,180
216,40	1,174
216,60	1,163
216,80	1,170
217,00	1,168
217,20	1,168
217,40	1,180
217,60	1,192
217,80	1,182
218,00	1,207
218,20	1,220
218,40	1,184
218,60	1,225
218,80	1,209
219,00	1,169
219,20	1,217
219,40	1,236
219,60	1,234
219,80	1,230
220,00	1,222
220,20	1,241
220,40	1,215
220,60	1,160
220,80	1,164
221,00	1,157
221,20	1,154
221,40	1,205
221,60	1,203
221,80	1,165
222,00	1,167
222,20	1,174
222,40	1,189
222,60	1,193
222,80	1,198
223,00	1,188
223,20	1,163
223,40	1,168
223,60	1,172
223,80	1,169
224,00	1,179
224,20	1,213
224,40	1,224
224,60	1,184
224,80	1,178
225,00	1,204
225,20	1,194
225,40	1,200
225,60	1,211
225,80	1,197
226,00	1,182
226,20	1,181
226,40	1,164
226,60	1,156
226,80	1,186
227,00	1,182
227,20	1,180
227,40	1,200
227,60	1,215
227,80	1,205
228,00	1,175
228,20	1,169
228,40	1,159
228,60	1,134
228,80	1,140
229,00	1,164
229,20	1,171
229,40	1,177
229,60	1,168
229,80	1,136
230,00	1,124
230,20	1,127
230,40	1,128
230,60	1,140
230,80	1,142
231,00	1,131
231,20	1,132
231,40	1,139
231,60	1,167
231,80	1,153
232,00	1,139
232,20	1,153
232,40	1,110
232,60	1,092
232,80	1,108
233,00	1,120
233,20	1,111
233,40	1,086
233,60	1,102
233,80	1,114
234,00	1,120
234,20	1,117
234,40	1,104
234,60	1,100
234,80	1,080
235,00	1,083
235,20	1,113
235,40	1,111
235,60	1,108
235,80	1,120
236,00	1,091
236,20	1,064
236,40	1,077
236,60	1,067
236,80	1,066
237,00	1,085
237,20	1,069
237,40	1,034
237,60	1,023
237,80	1,030
238,00	1,032
238,20	1,033
238,40	1,031
238,60	1,032
238,80	1,032
239,00	1,019
239,20	1,019
239,40	1,025
239,60	1,040
239,80	1,064
240,00	1,054
240,20	1,037
240,40	1,035
240,60	1,026
240,80	1,024
241,00	1,042
241,20	1,047
241,40	1,035
241,60	1,031
241,80	1,032
242,00	1,031
242,20	1,031
242,40	1,048
242,60	1,055
242,80	1,043
243,00	1,047
243,20	1,045
243,40	1,048
243,60	1,048
243,80	1,042
244,00	1,040
244,20	1,031
244,40	1,039
244,60	1,049
244,80	1,052
245,00	1,046
245,20	1,030
245,40	1,030
245,60	1,031
245,80	1,041
246,00	1,046
246,20	1,039
246,40	1,031
246,60	1,036
246,80	1,050
247,00	1,040
247,20	1,030
247,40	1,032
247,60	1,042
247,80	1,046
248,00	1,059
248,20	1,066
248,40	1,055
248,60	1,042
248,80	1,045
249,00	1,042
249,20	1,035
249,40	1,032
249,60	1,018
249,80	1,001
250,00	0,985
250,20	0,970
250,40	0,959
250,60	0,943
250,80	0,927
251,00	0,906
251,20	0,883
251,40	0,872
251,60	0,868
251,80	0,859
252,00	0,846
252,20	0,828
252,40	0,812
252,60	0,804
252,80	0,795
253,00	0,794
253,20	0,789
253,40	0,778
253,60	0,767
253,80	0,758
254,00	0,760
254,20	0,764
254,40	0,745
254,60	0,733
254,80	0,729
255,00	0,720
255,20	0,722
255,40	0,728
255,60	0,728
255,80	0,714
256,00	0,707
256,20	0,694
256,40	0,683
256,60	0,684
256,80	0,678
257,00	0,670
257,20	0,671
257,40	0,674
257,60	0,667
257,80	0,658
258,00	0,653
258,20	0,654
258,40	0,656
258,60	0,660
258,80	0,650
259,00	0,644
259,20	0,649
259,40	0,644
259,60	0,633
259,80	0,628
260,00	0,624
260,20	0,618
260,40	0,609
260,60	0,608
260,80	0,616
261,00	0,606
261,20	0,604
261,40	0,612
261,60	0,609
261,80	0,604
262,00	0,599
262,20	0,598
262,40	0,608
262,60	0,604
262,80	0,594
263,00	0,592
263,20	0,592
263,40	0,590
263,60	0,585
263,80	0,572
264,00	0,562
264,20	0,565
264,40	0,578
264,60	0,581
264,80	0,574
265,00	0,576
265,20	0,577
265,40	0,575
265,60	0,568
265,80	0,560
266,00	0,557
266,20	0,558
266,40	0,565
266,60	0,565
266,80	0,561
267,00	0,564
267,20	0,564
267,40	0,560
267,60	0,551
267,80	0,542
268,00	0,533
268,20	0,529
268,40	0,523
268,60	0,522
268,80	0,534
269,00	0,537
269,20	0,531
269,40	0,528
269,60	0,522
269,80	0,513
270,00	0,510
270,20	0,509
270,40	0,514
270,60	0,514
270,80	0,509
271,00	0,510
271,20	0,513
271,40	0,513
271,60	0,515
271,80	0,517
272,00	0,512
272,20	0,507
272,40	0,509
272,60	0,503
272,80	0,495
273,00	0,496
273,20	0,501
273,40	0,505
273,60	0,506
273,80	0,503
274,00	0,497
274,20	0,495
274,40	0,492
274,60	0,491
274,80	0,486
275,00	0,481
275,20	0,486
275,40	0,485
275,60	0,492
275,80	0,499
276,00	0,494
276,20	0,488
276,40	0,494
276,60	0,496
276,80	0,495
277,00	0,495
277,20	0,490
277,40	0,478
277,60	0,474
277,80	0,481
278,00	0,487
278,20	0,486
278,40	0,486
278,60	0,488
278,80	0,484
279,00	0,481
279,20	0,478
279,40	0,470
279,60	0,465
279,80	0,466
280,00	0,463
280,20	0,466
280,40	0,466
280,60	0,467
280,80	0,475
281,00	0,479
281,20	0,477
281,40	0,468
281,60	0,459
281,80	0,454
282,00	0,453
282,20	0,455
282,40	0,457
282,60	0,459
282,80	0,461
283,00	0,466
283,20	0,469
283,40	0,468
283,60	0,472
283,80	0,479
284,00	0,477
284,20	0,473
284,40	0,471
284,60	0,461
284,80	0,459
285,00	0,456
285,20	0,452
285,40	0,453
285,60	0,461
285,80	0,469
286,00	0,472
286,20	0,476
286,40	0,475
286,60	0,471
286,80	0,466
287,00	0,465
287,20	0,460
287,40	0,451
287,60	0,448
287,80	0,448
288,00	0,443
288,20	0,440
288,40	0,446
288,60	0,454
288,80	0,457
289,00	0,458
289,20	0,464
289,40	0,471
289,60	0,471
289,80	0,463
290,00	0,453
290,20	0,446
290,40	0,439
290,60	0,440
290,80	0,442
291,00	0,434
291,20	0,432
291,40	0,436
291,60	0,442
291,80	0,447
292,00	0,448
292,20	0,452
292,40	0,456
292,60	0,453
292,80	0,442
293,00	0,435
293,20	0,438
293,40	0,438
293,60	0,434
293,80	0,437
294,00	0,433
294,20	0,425
294,40	0,433
294,60	0,436
294,80	0,440
295,00	0,449
295,20	0,454
295,40	0,453
295,60	0,447
295,80	0,448
296,00	0,444
296,20	0,433
296,40	0,432
296,60	0,432
296,80	0,426
297,00	0,422
297,20	0,422
297,40	0,432
297,60	0,434
297,80	0,436
298,00	0,445
298,20	0,449
298,40	0,451
298,60	0,450
298,80	0,450
299,00	0,442
299,20	0,431
299,40	0,421
299,60	0,417
299,80	0,420
300,00	0,415
300,20	0,414
300,40	0,424
300,60	0,432
300,80	0,436
301,00	0,437
301,20	0,440
301,40	0,439
301,60	0,436
301,80	0,432
302,00	0,431
302,20	0,429
302,40	0,420
302,60	0,415
302,80	0,413
303,00	0,410
303,20	0,408
303,40	0,408
303,60	0,411
303,80	0,414
304,00	0,420
304,20	0,431
304,40	0,436
304,60	0,432
304,80	0,430
305,00	0,430
305,20	0,429
305,40	0,421
305,60	0,414
305,80	0,410
306,00	0,404
306,20	0,401
306,40	0,401
306,60	0,402
306,80	0,402
307,00	0,402
307,20	0,405
307,40	0,414
307,60	0,421
307,80	0,426
308,00	0,431
308,20	0,426
308,40	0,417
308,60	0,417
308,80	0,416
309,00	0,407
309,20	0,402
309,40	0,397
309,60	0,390
309,80	0,388
310,00	0,390
310,20	0,394
310,40	0,400
310,60	0,402
310,80	0,404
311,00	0,406
311,20	0,411
311,40	0,420
311,60	0,422
311,80	0,418
312,00	0,414
312,20	0,412
312,40	0,400
312,60	0,392
312,80	0,395
313,00	0,392
313,20	0,385
313,40	0,382
313,60	0,380
313,80	0,374
314,00	0,383
314,20	0,395
314,40	0,397
314,60	0,397
314,80	0,400
315,00	0,400
315,20	0,399
315,40	0,406
315,60	0,411
315,80	0,407
316,00	0,402
316,20	0,396
316,40	0,389
316,60	0,380
316,80	0,376
317,00	0,375
317,20	0,377
317,40	0,379
317,60	0,376
317,80	0,381
318,00	0,387
318,20	0,392
318,40	0,408
318,60	0,411
318,80	0,405
319,00	0,406
319,20	0,402
319,40	0,401
319,60	0,400
319,80	0,395
320,00	0,392
320,20	0,388
320,40	0,376
320,60	0,369
320,80	0,372
321,00	0,371
321,20	0,367
321,40	0,367
321,60	0,365
321,80	0,374
322,00	0,385
322,20	0,384
322,40	0,393
322,60	0,401
322,80	0,397
323,00	0,394
323,20	0,397
323,40	0,391
323,60	0,382
323,80	0,382
324,00	0,378
324,20	0,363
324,40	0,357
324,60	0,360
