"w15_26_3nm_NiOx_real - RawData"
"Wavelength nm."	"Abs."
279,00	0,402
279,20	0,409
279,40	0,412
279,60	0,413
279,80	0,411
280,00	0,403
280,20	0,395
280,40	0,385
280,60	0,382
280,80	0,386
281,00	0,394
281,20	0,399
281,40	0,396
281,60	0,401
281,80	0,407
282,00	0,407
282,20	0,409
282,40	0,403
282,60	0,391
282,80	0,387
283,00	0,381
283,20	0,379
283,40	0,386
283,60	0,386
283,80	0,385
284,00	0,388
284,20	0,396
284,40	0,405
284,60	0,413
284,80	0,408
285,00	0,399
285,20	0,396
285,40	0,390
285,60	0,385
285,80	0,380
286,00	0,373
286,20	0,370
286,40	0,375
286,60	0,381
286,80	0,384
287,00	0,389
287,20	0,391
287,40	0,387
287,60	0,390
287,80	0,386
288,00	0,376
288,20	0,375
288,40	0,377
288,60	0,370
288,80	0,363
289,00	0,366
289,20	0,365
289,40	0,370
289,60	0,375
289,80	0,379
290,00	0,386
290,20	0,386
290,40	0,386
290,60	0,382
290,80	0,379
291,00	0,378
291,20	0,368
291,40	0,358
291,60	0,355
291,80	0,356
292,00	0,357
292,20	0,360
292,40	0,365
292,60	0,367
292,80	0,365
293,00	0,374
293,20	0,388
293,40	0,391
293,60	0,384
293,80	0,376
294,00	0,374
294,20	0,367
294,40	0,360
294,60	0,353
294,80	0,355
295,00	0,359
295,20	0,351
295,40	0,354
295,60	0,365
295,80	0,368
296,00	0,373
296,20	0,379
296,40	0,383
296,60	0,384
296,80	0,379
297,00	0,373
297,20	0,369
297,40	0,365
297,60	0,357
297,80	0,348
298,00	0,340
298,20	0,343
298,40	0,353
298,60	0,355
298,80	0,361
299,00	0,367
299,20	0,368
299,40	0,372
299,60	0,368
299,80	0,365
300,00	0,362
300,20	0,356
300,40	0,356
300,60	0,349
300,80	0,342
301,00	0,343
301,20	0,343
301,40	0,341
301,60	0,341
301,80	0,342
302,00	0,350
302,20	0,361
302,40	0,361
302,60	0,362
302,80	0,365
303,00	0,364
303,20	0,358
303,40	0,351
303,60	0,345
303,80	0,343
304,00	0,342
304,20	0,339
304,40	0,338
304,60	0,337
304,80	0,340
305,00	0,346
305,20	0,351
305,40	0,356
305,60	0,359
305,80	0,363
306,00	0,366
306,20	0,366
306,40	0,367
306,60	0,362
306,80	0,357
307,00	0,345
307,20	0,331
307,40	0,330
307,60	0,333
307,80	0,334
308,00	0,332
308,20	0,331
308,40	0,331
308,60	0,336
308,80	0,342
309,00	0,339
309,20	0,344
309,40	0,354
309,60	0,351
309,80	0,349
310,00	0,351
310,20	0,343
310,40	0,339
310,60	0,332
310,80	0,322
311,00	0,317
311,20	0,315
311,40	0,318
311,60	0,320
311,80	0,323
312,00	0,329
312,20	0,337
312,40	0,347
312,60	0,353
312,80	0,353
313,00	0,354
313,20	0,357
313,40	0,356
313,60	0,351
313,80	0,338
314,00	0,327
314,20	0,325
314,40	0,324
314,60	0,325
314,80	0,324
315,00	0,316
315,20	0,316
315,40	0,320
315,60	0,321
315,80	0,327
316,00	0,332
316,20	0,330
316,40	0,326
316,60	0,334
316,80	0,337
317,00	0,334
317,20	0,337
317,40	0,339
317,60	0,332
317,80	0,321
318,00	0,312
318,20	0,309
318,40	0,310
318,60	0,314
318,80	0,315
319,00	0,320
319,20	0,325
319,40	0,324
319,60	0,328
319,80	0,337
320,00	0,340
320,20	0,338
320,40	0,340
320,60	0,351
320,80	0,356
321,00	0,345
321,20	0,337
321,40	0,337
321,60	0,328
321,80	0,320
322,00	0,326
322,20	0,323
322,40	0,313
322,60	0,312
322,80	0,314
323,00	0,314
323,20	0,315
323,40	0,325
323,60	0,329
323,80	0,330
324,00	0,336
324,20	0,344
324,40	0,351
324,60	0,352
324,80	0,352
325,00	0,345
325,20	0,338
325,40	0,336
325,60	0,333
325,80	0,321
326,00	0,310
326,20	0,310
326,40	0,308
326,60	0,304
326,80	0,299
327,00	0,295
327,20	0,297
327,40	0,304
327,60	0,309
327,80	0,308
328,00	0,310
328,20	0,321
328,40	0,329
328,60	0,331
328,80	0,330
329,00	0,322
329,20	0,327
329,40	0,334
329,60	0,328
329,80	0,320
330,00	0,314
330,20	0,308
330,40	0,303
330,60	0,300
330,80	0,293
331,00	0,291
331,20	0,294
331,40	0,296
331,60	0,305
331,80	0,309
332,00	0,311
332,20	0,320
332,40	0,328
332,60	0,333
332,80	0,333
333,00	0,327
333,20	0,323
333,40	0,322
333,60	0,322
333,80	0,323
334,00	0,319
334,20	0,315
334,40	0,314
334,60	0,309
334,80	0,300
335,00	0,299
335,20	0,294
335,40	0,284
335,60	0,286
335,80	0,292
336,00	0,293
336,20	0,301
336,40	0,308
336,60	0,312
336,80	0,322
337,00	0,330
337,20	0,329
337,40	0,322
337,60	0,322
337,80	0,324
338,00	0,315
338,20	0,311
338,40	0,310
338,60	0,303
338,80	0,295
339,00	0,295
339,20	0,297
339,40	0,294
339,60	0,298
339,80	0,298
340,00	0,294
340,20	0,295
340,40	0,295
340,60	0,301
340,80	0,308
341,00	0,320
341,20	0,326
341,40	0,320
341,60	0,316
341,80	0,324
342,00	0,333
342,20	0,331
342,40	0,320
342,60	0,315
342,80	0,312
343,00	0,306
343,20	0,299
343,40	0,297
343,60	0,294
343,80	0,290
344,00	0,283
344,20	0,276
344,40	0,278
344,60	0,282
344,80	0,286
345,00	0,294
345,20	0,298
345,40	0,302
345,60	0,308
345,80	0,311
346,00	0,317
346,20	0,331
346,40	0,335
346,60	0,334
346,80	0,338
347,00	0,336
347,20	0,329
347,40	0,327
347,60	0,318
347,80	0,308
348,00	0,299
348,20	0,286
348,40	0,282
348,60	0,281
348,80	0,277
349,00	0,275
349,20	0,276
349,40	0,272
349,60	0,266
349,80	0,269
350,00	0,275
350,20	0,277
350,40	0,281
350,60	0,285
350,80	0,291
351,00	0,301
351,20	0,304
351,40	0,312
351,60	0,315
351,80	0,312
352,00	0,315
352,20	0,310
352,40	0,302
352,60	0,293
352,80	0,293
353,00	0,294
353,20	0,286
353,40	0,278
353,60	0,280
353,80	0,283
354,00	0,282
354,20	0,277
354,40	0,277
354,60	0,280
354,80	0,281
355,00	0,291
355,20	0,297
355,40	0,296
355,60	0,302
355,80	0,306
356,00	0,310
