"w15_25_1nm_NiOx - RawData"
"Wavelength nm."	"Abs."
200,00	0,601
200,20	0,683
200,40	0,752
200,60	0,785
200,80	0,725
201,00	0,624
201,20	0,722
201,40	0,852
201,60	0,866
201,80	0,766
202,00	0,754
202,20	0,869
202,40	0,830
202,60	0,780
202,80	0,874
203,00	0,904
203,20	0,979
203,40	0,963
203,60	0,950
203,80	0,981
204,00	0,866
204,20	0,785
204,40	0,791
204,60	0,863
204,80	0,886
205,00	0,822
205,20	0,776
205,40	0,782
205,60	0,771
205,80	0,866
206,00	0,988
206,20	1,022
206,40	0,977
206,60	0,903
206,80	0,937
207,00	1,009
207,20	0,910
207,40	0,864
207,60	0,911
207,80	0,914
208,00	0,951
208,20	0,964
208,40	0,982
208,60	0,979
208,80	0,984
209,00	0,995
209,20	1,008
209,40	0,958
209,60	0,961
209,80	1,006
210,00	0,995
210,20	1,049
210,40	1,063
210,60	1,040
210,80	1,027
211,00	1,031
211,20	1,009
211,40	0,981
211,60	0,991
211,80	0,996
212,00	0,986
212,20	0,935
212,40	0,952
212,60	1,020
212,80	0,980
213,00	0,953
213,20	1,013
213,40	1,019
213,60	0,985
213,80	1,001
214,00	0,998
214,20	0,990
214,40	1,006
214,60	1,037
214,80	1,015
215,00	1,003
215,20	1,021
215,40	0,999
215,60	1,000
215,80	0,975
216,00	0,975
216,20	1,030
216,40	1,014
216,60	0,984
216,80	0,998
217,00	0,995
217,20	0,996
217,40	0,987
217,60	0,990
217,80	1,014
218,00	0,966
218,20	0,913
218,40	0,929
218,60	0,998
218,80	1,021
219,00	1,007
219,20	1,026
219,40	1,014
219,60	1,020
219,80	0,992
220,00	0,975
220,20	0,997
220,40	0,987
220,60	0,999
220,80	0,985
221,00	0,962
221,20	0,966
221,40	0,991
221,60	0,987
221,80	0,935
222,00	0,951
222,20	0,980
222,40	0,980
222,60	0,958
222,80	0,947
223,00	0,996
223,20	0,994
223,40	0,973
223,60	0,979
223,80	0,976
224,00	0,974
224,20	0,982
224,40	0,974
224,60	0,955
224,80	0,979
225,00	0,971
225,20	0,938
225,40	0,942
225,60	0,958
225,80	0,983
226,00	0,989
226,20	0,968
226,40	0,958
226,60	0,969
226,80	0,976
227,00	0,964
227,20	0,964
227,40	0,986
227,60	0,986
227,80	0,965
228,00	0,961
228,20	0,971
228,40	0,971
228,60	0,978
228,80	1,003
229,00	0,995
229,20	0,978
229,40	0,972
229,60	0,967
229,80	0,965
230,00	0,991
230,20	1,005
230,40	0,988
230,60	0,960
230,80	0,959
231,00	0,976
231,20	0,963
231,40	0,954
231,60	0,958
231,80	0,954
232,00	0,958
232,20	0,962
232,40	0,948
232,60	0,944
232,80	0,945
233,00	0,947
233,20	0,937
233,40	0,929
233,60	0,920
233,80	0,925
234,00	0,932
234,20	0,914
234,40	0,915
234,60	0,927
234,80	0,906
235,00	0,906
235,20	0,915
235,40	0,899
235,60	0,890
235,80	0,876
236,00	0,866
236,20	0,878
236,40	0,895
236,60	0,893
236,80	0,877
237,00	0,862
237,20	0,855
237,40	0,866
237,60	0,871
237,80	0,870
238,00	0,870
238,20	0,865
238,40	0,861
238,60	0,849
238,80	0,842
239,00	0,853
239,20	0,860
239,40	0,846
239,60	0,849
239,80	0,852
240,00	0,832
240,20	0,834
240,40	0,835
240,60	0,833
240,80	0,830
241,00	0,817
241,20	0,832
241,40	0,844
241,60	0,840
241,80	0,837
242,00	0,840
242,20	0,847
242,40	0,853
242,60	0,845
242,80	0,843
243,00	0,856
243,20	0,856
243,40	0,857
243,60	0,844
243,80	0,836
244,00	0,846
244,20	0,850
244,40	0,852
244,60	0,855
244,80	0,852
245,00	0,852
245,20	0,852
245,40	0,859
245,60	0,865
245,80	0,855
246,00	0,847
246,20	0,847
246,40	0,859
246,60	0,867
246,80	0,872
247,00	0,868
247,20	0,861
247,40	0,868
247,60	0,876
247,80	0,876
