"w15_26_3nm_NiOx - RawData"
"Wavelength nm."	"Abs."
279,00	0,484
279,20	0,475
279,40	0,467
279,60	0,463
279,80	0,460
280,00	0,459
280,20	0,459
280,40	0,464
280,60	0,469
280,80	0,466
281,00	0,464
281,20	0,471
281,40	0,466
281,60	0,458
281,80	0,456
282,00	0,453
282,20	0,451
282,40	0,451
282,60	0,450
282,80	0,453
283,00	0,461
283,20	0,465
283,40	0,468
283,60	0,470
283,80	0,470
284,00	0,468
284,20	0,461
284,40	0,461
284,60	0,459
284,80	0,455
285,00	0,452
285,20	0,448
285,40	0,448
285,60	0,453
285,80	0,455
286,00	0,459
286,20	0,465
286,40	0,466
286,60	0,468
286,80	0,464
287,00	0,454
287,20	0,448
287,40	0,444
287,60	0,448
287,80	0,448
288,00	0,442
288,20	0,436
288,40	0,440
288,60	0,453
288,80	0,460
289,00	0,458
289,20	0,459
289,40	0,469
289,60	0,470
289,80	0,465
290,00	0,461
290,20	0,458
290,40	0,450
290,60	0,438
290,80	0,430
291,00	0,428
291,20	0,429
291,40	0,430
291,60	0,438
291,80	0,443
292,00	0,449
292,20	0,450
292,40	0,450
292,60	0,449
292,80	0,446
293,00	0,439
293,20	0,429
293,40	0,426
293,60	0,423
293,80	0,419
294,00	0,419
294,20	0,424
294,40	0,431
294,60	0,435
294,80	0,437
295,00	0,441
295,20	0,446
295,40	0,446
295,60	0,443
295,80	0,440
296,00	0,433
296,20	0,428
296,40	0,429
296,60	0,421
296,80	0,416
297,00	0,415
297,20	0,418
297,40	0,428
297,60	0,428
297,80	0,428
298,00	0,432
298,20	0,440
298,40	0,441
298,60	0,437
298,80	0,437
299,00	0,434
299,20	0,428
299,40	0,419
299,60	0,409
299,80	0,406
300,00	0,404
300,20	0,402
300,40	0,410
300,60	0,422
300,80	0,429
301,00	0,436
301,20	0,433
301,40	0,430
301,60	0,434
301,80	0,433
302,00	0,432
302,20	0,424
302,40	0,410
302,60	0,401
302,80	0,401
303,00	0,402
303,20	0,401
303,40	0,403
303,60	0,408
303,80	0,414
304,00	0,416
304,20	0,419
304,40	0,425
304,60	0,428
304,80	0,425
305,00	0,419
305,20	0,422
305,40	0,423
305,60	0,410
305,80	0,404
306,00	0,410
306,20	0,405
306,40	0,404
306,60	0,402
306,80	0,393
307,00	0,398
307,20	0,409
307,40	0,415
307,60	0,411
307,80	0,405
308,00	0,411
308,20	0,425
308,40	0,428
308,60	0,423
308,80	0,413
309,00	0,396
309,20	0,395
309,40	0,399
309,60	0,393
309,80	0,390
310,00	0,390
310,20	0,385
310,40	0,389
310,60	0,393
310,80	0,394
311,00	0,403
311,20	0,409
311,40	0,412
311,60	0,417
311,80	0,414
312,00	0,411
312,20	0,412
312,40	0,411
312,60	0,405
312,80	0,398
313,00	0,389
313,20	0,384
313,40	0,385
313,60	0,380
313,80	0,375
314,00	0,373
314,20	0,382
314,40	0,392
314,60	0,395
314,80	0,399
315,00	0,398
315,20	0,398
315,40	0,401
315,60	0,399
315,80	0,393
316,00	0,389
316,20	0,388
316,40	0,382
316,60	0,376
316,80	0,370
317,00	0,370
317,20	0,372
317,40	0,370
317,60	0,369
317,80	0,377
318,00	0,388
318,20	0,389
318,40	0,388
318,60	0,397
318,80	0,404
319,00	0,402
319,20	0,402
319,40	0,403
319,60	0,401
319,80	0,392
320,00	0,383
320,20	0,373
320,40	0,368
320,60	0,368
320,80	0,365
321,00	0,362
321,20	0,366
321,40	0,372
321,60	0,377
321,80	0,379
322,00	0,382
322,20	0,386
322,40	0,390
322,60	0,393
322,80	0,397
323,00	0,396
323,20	0,392
323,40	0,396
323,60	0,393
323,80	0,380
324,00	0,368
324,20	0,360
324,40	0,360
324,60	0,356
324,80	0,348
325,00	0,350
325,20	0,359
325,40	0,361
325,60	0,356
325,80	0,360
326,00	0,370
326,20	0,376
326,40	0,383
326,60	0,389
326,80	0,390
327,00	0,392
327,20	0,388
327,40	0,382
327,60	0,377
327,80	0,369
328,00	0,368
328,20	0,368
328,40	0,356
328,60	0,349
328,80	0,350
329,00	0,348
329,20	0,344
329,40	0,344
329,60	0,347
329,80	0,353
330,00	0,366
330,20	0,372
330,40	0,366
330,60	0,372
330,80	0,380
331,00	0,380
331,20	0,385
331,40	0,384
331,60	0,382
331,80	0,384
332,00	0,378
332,20	0,367
332,40	0,358
332,60	0,347
332,80	0,340
333,00	0,336
333,20	0,333
333,40	0,329
333,60	0,330
333,80	0,337
334,00	0,340
334,20	0,346
334,40	0,353
334,60	0,359
334,80	0,359
335,00	0,361
335,20	0,366
335,40	0,369
335,60	0,375
335,80	0,369
336,00	0,366
336,20	0,365
336,40	0,354
336,60	0,346
336,80	0,340
337,00	0,336
337,20	0,337
337,40	0,336
337,60	0,337
337,80	0,333
338,00	0,330
338,20	0,337
338,40	0,340
338,60	0,341
338,80	0,348
339,00	0,357
339,20	0,367
339,40	0,375
339,60	0,381
339,80	0,374
340,00	0,367
340,20	0,364
340,40	0,358
340,60	0,358
340,80	0,354
341,00	0,343
341,20	0,336
341,40	0,330
341,60	0,322
341,80	0,322
342,00	0,331
342,20	0,328
342,40	0,318
342,60	0,321
342,80	0,330
343,00	0,336
343,20	0,336
343,40	0,335
343,60	0,345
343,80	0,352
344,00	0,355
344,20	0,356
344,40	0,356
344,60	0,355
344,80	0,355
345,00	0,355
345,20	0,350
345,40	0,345
345,60	0,341
345,80	0,333
346,00	0,328
346,20	0,324
346,40	0,319
346,60	0,313
346,80	0,315
347,00	0,320
347,20	0,320
347,40	0,322
347,60	0,319
347,80	0,316
348,00	0,325
348,20	0,335
348,40	0,343
348,60	0,346
348,80	0,342
349,00	0,344
349,20	0,351
349,40	0,349
349,60	0,343
349,80	0,343
350,00	0,340
350,20	0,333
350,40	0,324
350,60	0,323
350,80	0,321
351,00	0,320
351,20	0,321
351,40	0,315
351,60	0,313
351,80	0,312
352,00	0,320
352,20	0,324
352,40	0,323
352,60	0,329
352,80	0,334
353,00	0,338
353,20	0,344
353,40	0,354
353,60	0,363
353,80	0,360
354,00	0,356
354,20	0,353
354,40	0,343
354,60	0,347
354,80	0,350
355,00	0,335
355,20	0,324
355,40	0,320
355,60	0,315
355,80	0,313
356,00	0,310
356,20	0,303
356,40	0,302
356,60	0,307
356,80	0,312
357,00	0,317
357,20	0,320
357,40	0,328
357,60	0,331
357,80	0,327
358,00	0,338
358,20	0,349
358,40	0,351
358,60	0,357
358,80	0,356
359,00	0,349
359,20	0,346
359,40	0,340
359,60	0,330
359,80	0,330
360,00	0,326
360,20	0,320
360,40	0,319
360,60	0,310
360,80	0,306
361,00	0,306
361,20	0,299
361,40	0,296
361,60	0,297
361,80	0,297
362,00	0,301
362,20	0,303
362,40	0,307
362,60	0,315
362,80	0,318
363,00	0,323
363,20	0,327
363,40	0,335
363,60	0,343
363,80	0,343
364,00	0,347
364,20	0,349
364,40	0,343
364,60	0,348
364,80	0,350
365,00	0,343
365,20	0,335
365,40	0,324
365,60	0,319
365,80	0,318
366,00	0,316
366,20	0,309
366,40	0,302
366,60	0,298
366,80	0,297
367,00	0,297
367,20	0,292
367,40	0,292
367,60	0,294
367,80	0,295
368,00	0,298
368,20	0,304
368,40	0,316
368,60	0,324
368,80	0,327
369,00	0,329
369,20	0,333
369,40	0,339
369,60	0,344
369,80	0,340
370,00	0,338
370,20	0,339
370,40	0,335
370,60	0,331
370,80	0,326
371,00	0,321
371,20	0,313
371,40	0,309
371,60	0,305
371,80	0,298
372,00	0,298
372,20	0,296
372,40	0,287
372,60	0,287
372,80	0,287
373,00	0,290
373,20	0,294
373,40	0,301
373,60	0,310
373,80	0,316
374,00	0,320
374,20	0,326
374,40	0,333
374,60	0,336
374,80	0,338
375,00	0,342
375,20	0,345
375,40	0,344
375,60	0,342
375,80	0,339
376,00	0,335
376,20	0,333
376,40	0,330
376,60	0,321
376,80	0,314
377,00	0,314
377,20	0,308
377,40	0,301
377,60	0,303
377,80	0,300
378,00	0,295
378,20	0,290
378,40	0,290
378,60	0,290
378,80	0,291
379,00	0,296
379,20	0,299
379,40	0,302
379,60	0,307
379,80	0,310
380,00	0,315
380,20	0,320
380,40	0,322
380,60	0,326
380,80	0,329
381,00	0,330
381,20	0,331
381,40	0,334
381,60	0,332
381,80	0,329
382,00	0,333
382,20	0,332
382,40	0,324
382,60	0,319
382,80	0,312
383,00	0,309
383,20	0,307
383,40	0,300
383,60	0,293
383,80	0,285
384,00	0,283
384,20	0,284
384,40	0,283
384,60	0,285
384,80	0,288
385,00	0,290
385,20	0,292
385,40	0,294
385,60	0,295
385,80	0,297
386,00	0,302
386,20	0,309
386,40	0,314
386,60	0,318
386,80	0,321
387,00	0,325
387,20	0,326
387,40	0,323
387,60	0,321
387,80	0,319
388,00	0,317
388,20	0,316
388,40	0,315
388,60	0,310
388,80	0,303
389,00	0,297
389,20	0,290
389,40	0,289
389,60	0,289
389,80	0,282
390,00	0,279
390,20	0,278
390,40	0,280
390,60	0,282
390,80	0,283
391,00	0,284
391,20	0,288
391,40	0,290
391,60	0,296
391,80	0,300
392,00	0,302
392,20	0,308
392,40	0,315
392,60	0,322
392,80	0,326
393,00	0,329
393,20	0,331
393,40	0,331
393,60	0,329
393,80	0,330
394,00	0,328
394,20	0,325
394,40	0,324
394,60	0,317
394,80	0,311
395,00	0,308
395,20	0,303
395,40	0,299
395,60	0,294
395,80	0,289
396,00	0,284
396,20	0,281
396,40	0,279
396,60	0,278
396,80	0,275
397,00	0,276
397,20	0,278
397,40	0,279
397,60	0,279
397,80	0,283
398,00	0,289
398,20	0,295
398,40	0,298
398,60	0,303
398,80	0,310
399,00	0,312
399,20	0,316
399,40	0,319
399,60	0,321
399,80	0,326
400,00	0,328
400,20	0,329
400,40	0,326
400,60	0,327
400,80	0,333
401,00	0,329
401,20	0,325
401,40	0,322
401,60	0,317
401,80	0,314
402,00	0,307
402,20	0,301
402,40	0,296
402,60	0,295
402,80	0,292
403,00	0,287
403,20	0,284
403,40	0,281
403,60	0,279
403,80	0,277
404,00	0,276
404,20	0,276
404,40	0,277
404,60	0,278
404,80	0,281
405,00	0,287
405,20	0,291
405,40	0,293
405,60	0,296
405,80	0,299
406,00	0,302
406,20	0,308
406,40	0,311
406,60	0,314
406,80	0,320
407,00	0,319
407,20	0,320
407,40	0,321
407,60	0,321
407,80	0,323
408,00	0,322
408,20	0,319
408,40	0,314
408,60	0,310
408,80	0,306
409,00	0,303
409,20	0,300
409,40	0,294
409,60	0,289
409,80	0,288
410,00	0,284
410,20	0,277
410,40	0,274
410,60	0,275
410,80	0,276
411,00	0,276
411,20	0,276
411,40	0,277
411,60	0,280
411,80	0,281
412,00	0,284
412,20	0,287
412,40	0,291
412,60	0,296
412,80	0,299
413,00	0,302
413,20	0,308
413,40	0,309
413,60	0,308
413,80	0,311
414,00	0,313
414,20	0,317
414,40	0,318
414,60	0,319
414,80	0,317
415,00	0,316
415,20	0,315
415,40	0,310
415,60	0,307
415,80	0,304
416,00	0,298
416,20	0,295
416,40	0,293
416,60	0,289
416,80	0,287
417,00	0,284
417,20	0,281
417,40	0,277
417,60	0,275
417,80	0,275
418,00	0,274
418,20	0,271
418,40	0,271
418,60	0,272
418,80	0,271
419,00	0,277
419,20	0,281
419,40	0,281
419,60	0,287
419,80	0,292
420,00	0,293
420,20	0,293
420,40	0,296
420,60	0,302
420,80	0,305
421,00	0,306
421,20	0,307
421,40	0,311
421,60	0,314
421,80	0,315
422,00	0,315
422,20	0,311
422,40	0,311
422,60	0,311
422,80	0,307
423,00	0,306
423,20	0,303
423,40	0,296
423,60	0,293
423,80	0,289
424,00	0,282
424,20	0,276
424,40	0,273
424,60	0,271
424,80	0,268
425,00	0,265
425,20	0,263
425,40	0,263
425,60	0,262
425,80	0,262
426,00	0,265
426,20	0,265
426,40	0,265
426,60	0,270
426,80	0,273
427,00	0,273
427,20	0,275
427,40	0,280
427,60	0,285
427,80	0,288
428,00	0,293
428,20	0,296
428,40	0,302
428,60	0,308
428,80	0,308
429,00	0,310
429,20	0,311
429,40	0,312
429,60	0,313
429,80	0,312
430,00	0,312
430,20	0,313
430,40	0,312
430,60	0,308
430,80	0,304
431,00	0,302
431,20	0,297
431,40	0,292
431,60	0,287
431,80	0,281
432,00	0,278
432,20	0,276
432,40	0,271
432,60	0,268
432,80	0,267
433,00	0,266
433,20	0,262
433,40	0,261
433,60	0,262
433,80	0,263
434,00	0,265
434,20	0,264
434,40	0,264
434,60	0,267
434,80	0,269
435,00	0,272
435,20	0,277
435,40	0,281
435,60	0,286
435,80	0,290
436,00	0,294
436,20	0,297
436,40	0,300
436,60	0,302
436,80	0,305
437,00	0,309
437,20	0,311
437,40	0,312
437,60	0,314
437,80	0,316
438,00	0,319
438,20	0,319
438,40	0,320
438,60	0,320
438,80	0,318
439,00	0,317
439,20	0,314
439,40	0,309
439,60	0,304
439,80	0,300
440,00	0,297
440,20	0,291
440,40	0,285
440,60	0,282
440,80	0,277
441,00	0,272
441,20	0,271
441,40	0,268
441,60	0,263
441,80	0,260
442,00	0,260
442,20	0,259
442,40	0,258
442,60	0,260
442,80	0,262
443,00	0,263
443,20	0,267
443,40	0,270
443,60	0,271
443,80	0,274
444,00	0,278
444,20	0,282
444,40	0,287
444,60	0,292
444,80	0,296
445,00	0,297
445,20	0,299
445,40	0,301
445,60	0,304
445,80	0,306
446,00	0,307
446,20	0,309
446,40	0,311
446,60	0,313
446,80	0,311
447,00	0,307
447,20	0,305
447,40	0,304
447,60	0,302
447,80	0,298
448,00	0,294
448,20	0,290
448,40	0,285
448,60	0,281
448,80	0,277
449,00	0,275
449,20	0,273
449,40	0,270
449,60	0,266
449,80	0,262
450,00	0,260
450,20	0,258
450,40	0,255
450,60	0,254
450,80	0,254
451,00	0,253
451,20	0,254
451,40	0,256
451,60	0,259
451,80	0,261
452,00	0,263
452,20	0,265
452,40	0,270
452,60	0,275
452,80	0,277
453,00	0,278
453,20	0,282
453,40	0,286
453,60	0,288
453,80	0,293
454,00	0,297
454,20	0,296
454,40	0,299
454,60	0,302
454,80	0,302
455,00	0,303
455,20	0,303
455,40	0,304
455,60	0,304
455,80	0,303
456,00	0,302
456,20	0,302
456,40	0,301
456,60	0,299
456,80	0,295
457,00	0,290
457,20	0,288
457,40	0,283
457,60	0,280
457,80	0,279
458,00	0,277
458,20	0,273
458,40	0,269
458,60	0,267
458,80	0,265
459,00	0,262
459,20	0,261
459,40	0,259
459,60	0,257
459,80	0,255
460,00	0,257
460,20	0,258
460,40	0,256
460,60	0,258
460,80	0,263
461,00	0,265
461,20	0,265
461,40	0,267
461,60	0,269
461,80	0,273
462,00	0,277
462,20	0,281
462,40	0,284
462,60	0,285
462,80	0,287
463,00	0,291
463,20	0,294
463,40	0,296
463,60	0,297
463,80	0,299
464,00	0,302
464,20	0,303
464,40	0,303
464,60	0,302
464,80	0,302
465,00	0,302
465,20	0,301
465,40	0,301
465,60	0,299
465,80	0,298
466,00	0,295
466,20	0,292
466,40	0,288
466,60	0,285
466,80	0,282
467,00	0,279
467,20	0,277
467,40	0,273
467,60	0,268
467,80	0,265
468,00	0,263
468,20	0,260
468,40	0,259
468,60	0,257
468,80	0,254
469,00	0,252
469,20	0,250
469,40	0,251
469,60	0,252
469,80	0,250
470,00	0,248
470,20	0,249
470,40	0,250
470,60	0,252
470,80	0,255
471,00	0,258
471,20	0,262
471,40	0,266
471,60	0,267
471,80	0,270
472,00	0,274
472,20	0,276
472,40	0,278
472,60	0,280
472,80	0,282
473,00	0,284
473,20	0,286
473,40	0,286
473,60	0,287
473,80	0,289
474,00	0,291
474,20	0,292
474,40	0,291
474,60	0,291
474,80	0,293
475,00	0,294
475,20	0,294
475,40	0,291
475,60	0,288
475,80	0,286
476,00	0,283
476,20	0,280
476,40	0,277
476,60	0,275
476,80	0,273
477,00	0,270
477,20	0,268
477,40	0,267
477,60	0,266
477,80	0,263
478,00	0,259
478,20	0,257
478,40	0,256
478,60	0,254
478,80	0,254
479,00	0,253
479,20	0,252
479,40	0,252
479,60	0,254
479,80	0,253
480,00	0,253
480,20	0,256
480,40	0,257
480,60	0,258
480,80	0,262
481,00	0,268
481,20	0,271
481,40	0,273
481,60	0,276
481,80	0,279
482,00	0,283
482,20	0,285
482,40	0,288
482,60	0,290
482,80	0,295
483,00	0,298
483,20	0,298
483,40	0,299
483,60	0,301
483,80	0,301
484,00	0,302
484,20	0,303
484,40	0,304
484,60	0,304
484,80	0,303
485,00	0,302
485,20	0,300
485,40	0,299
485,60	0,297
485,80	0,295
486,00	0,291
486,20	0,289
486,40	0,287
486,60	0,282
486,80	0,279
487,00	0,277
487,20	0,274
487,40	0,270
487,60	0,267
487,80	0,264
488,00	0,261
488,20	0,259
488,40	0,256
488,60	0,255
488,80	0,251
489,00	0,248
489,20	0,249
489,40	0,249
489,60	0,248
489,80	0,250
490,00	0,249
490,20	0,249
490,40	0,252
490,60	0,255
490,80	0,255
491,00	0,256
491,20	0,258
491,40	0,262
491,60	0,266
491,80	0,269
492,00	0,270
492,20	0,272
492,40	0,276
492,60	0,279
492,80	0,282
493,00	0,286
493,20	0,289
493,40	0,290
493,60	0,290
493,80	0,292
494,00	0,294
494,20	0,296
494,40	0,295
494,60	0,295
494,80	0,297
495,00	0,298
495,20	0,297
495,40	0,295
495,60	0,293
495,80	0,292
496,00	0,292
496,20	0,289
496,40	0,287
496,60	0,283
496,80	0,281
497,00	0,279
497,20	0,275
497,40	0,274
497,60	0,272
497,80	0,267
498,00	0,262
498,20	0,259
498,40	0,257
498,60	0,255
498,80	0,252
499,00	0,248
499,20	0,243
499,40	0,240
499,60	0,240
499,80	0,238
500,00	0,238
500,20	0,238
500,40	0,238
500,60	0,239
500,80	0,239
501,00	0,239
501,20	0,241
501,40	0,243
501,60	0,244
501,80	0,246
502,00	0,249
502,20	0,250
502,40	0,252
502,60	0,256
502,80	0,259
503,00	0,262
503,20	0,264
503,40	0,266
503,60	0,269
503,80	0,271
504,00	0,275
504,20	0,277
504,40	0,278
504,60	0,281
504,80	0,282
505,00	0,283
505,20	0,284
505,40	0,286
505,60	0,288
505,80	0,288
506,00	0,288
506,20	0,289
506,40	0,290
506,60	0,290
506,80	0,291
507,00	0,290
507,20	0,287
507,40	0,286
507,60	0,285
507,80	0,284
508,00	0,282
508,20	0,280
508,40	0,277
508,60	0,275
508,80	0,273
509,00	0,269
509,20	0,266
509,40	0,264
509,60	0,261
509,80	0,258
510,00	0,258
